"ID";"CODE_COMMUNE";"COMMUNE_AR";"COMMUNE_FR"
2352;"31710501";ايت بوبيدمان;Ait Boubidmane
2394;"74310915";اصعادلا;Saadla
2609;"71910713";الجوالة;Jouala
2610;"10510503";أيت يوسف وعلي;Ait Youssef Ou Ali
2611;"84010313";سروا;Siroua
2612;"30610505";المهاية;M'haya
2613;"15110315";حد الغربية;Had Al Gharbia
2614;"74270907";لمحرة;Lamharra
2615;"42910501";أيت إيشو;Ait Ichou
2616;"53010703";أكلموس;Aguelmous
2617;"75850511";اجنان بويه;Jnane Bouih
2618;"35610901";أيت سغروشن;Ait Saghrouchen
2619;"82011303";فركلة العليا;Ferkla El Oulia
2620;"72110301";آيت سعيد;Ait Said
2630;"70410103";أمزميز;Amizmiz
2632;"53010305";القباب;El Kbab
2633;"35611313";أولادالشريف;Oulad Chrif
2634;"44810903";بير الطالب;Bir Taleb
2635;"92730105";أيت ملول;Ait Melloul
2636;"64610705";دار الشافعي;Dar Chaffai
2637;"75850507";ايغود;Ighoud
2638;"82010103";بودنيب;Boudnib
2639;"35611311";مكناسة الغربية;Meknassa Al Gharbia
2640;"72110331";أوناغة;Ounagha
2646;"82010113";مولاي علي الشريف;Moulay Ali Cherif
2649;"85870321";مزكيطة;Mezguita
2650;"42910713";مرشوش;Marchouch
2652;"24110307";لبصارة;Bsara
2654;"44910317";عامر الشمالية;Ameur Chamalia
2657;"35310911";مساسة;Messassa
2659;"23810703";البركانيين;Al Barkanyene
1879;"83630729";زايدة;Zaida
1880;"1410141";عين شق;ARRONDISSEMENTS D'AIN CHOCK
1881;"100710101";أسا;Assa
1882;"61170535";زاوية سيدي بنحمدون;Zaouiat Sidi Ben Hamdoun
1883;"70410313";إكرفروان;Iguerferouane
1884;"74310307";لحضر;Lahdar
1885;"30610707";نزالة بني عمار;N'zalat Bni Amar
1886;"71910627";سيدي عيسى بن سليمان;Sidi Aissa Ben Slimane
1887;"53110505";بولنوار;Bulanouare
1888;"91630313";هلالة;Hilala
1889;"95410429";لمهارة;Lamhara
1890;"61810905";متوح;Mettouh
1891;"61810311";سيدي علي بن حمدوش;Sidi Ali Ben Hamdouche
1892;"42910511";أولماس;Oulmes
1893;"63710305";سيدي موسى بن علي;Sidi Moussa Ben Ali
1894;"42910313";الصفاصيف;Sfassif
1895;"82011107";الطاوس;Et-taous
1896;"95410525";سيدي أحمد أوعمر;Sidi Ahmed Ou Amar
1897;"64670705";بوحمام;Bouhmame
1898;"61110317";الردادنة أولاد مالك;Rdadna Oulad Malek
1899;"42910301";أيت ميمون;Ait Mimoune
1900;"32718101";ضاية عوا;Dayat Aoua
1901;"50811515";سيدي بولخلف;Sidi Boulkhalf
1902;"44810913";زيرارة;Zirara
1903;"83630527";تونفيت;Tounfite
1904;"25330901";أهل وادزا;Ahl Oued Za
1905;"71610313";سيدي بوزيد الركراكي;Sidi Bouzid Arragragui
1906;"71910325";اولاد مسعود;Oulad Massaoud
1907;"74310711";نكا;Nagga
1908;"74270707";الجعافرة;Jaafra
1561;"95510105";فم زكيد;Foum Zguid
1562;"95410957";تزمورت;Tazemmourt
1563;"22750305";كنفودة;Guenfouda
1564;"53010513";موحى اوحمو الزياني;Moha Ou Hammou Zayani
1565;"91630307";أيت  وادريم;Ait Ouadrim
1566;"50811501";أيت ابلال;Ait Blal
1567;"71610515";سيدي غانم;Sidi Ghanem
1568;"21670311";اولاد بوبكر;Oulad Boubker
1569;"44810509";صفصاف;Sefsaf
1570;"95410725";زاكموزن;Zagmouzen
1571;"85770221";مصيسي;M'Ssici
1572;"15118105";حجر النحل;HJAR ENNHAL
1573;"35610101";أكنول;Aknoul
1574;"74270705";بوشان;Bouchane
1575;"1410101";انفا;ARRONDISSEMENTS DE CASA - ANFA
1576;"42910117";سيدي علال البحراوي;Sidi Allal El Bahraoui
1577;"50810505";بني حسان;Bni Hassane
1578;"64610907";كيسر;Guisser
1579;"63850103";النواصر;Nouaceur
1580;"21130307";فزوان;Fezouane
1651;"85870325";النقوب;N'Kob
1652;"74310302";شهدة;Chahda
1653;"42810101";القنيطرة;Kénitra
1654;"82010307";السيفا;Es-sifa
1655;"95510503";اقا إيغان;Akka Ighane
1656;"63550305";سيدي حجاج واد حصار;Sidi Hajjaj Oued Hassar
1657;"50810911";بين الويدان;Bin El Ouidane
1658;"31310315";سكورة-مداز;Skoura M'Daz
1659;"32718103";تيزكيت;Tizguite
1660;"71910309";الرافعية;Errafiaya
2113;"83630521";سيدي يحيى ايوسف;Sidi Yahya Ou Youssef
2114;"72110341";سيدي إسحاق;Sidi Ishaq
2115;"10510517";لوطا;Louta
2116;"34510501";عين الشكاك;Ain Cheggag
2117;"70410511";للا تكركوست;Lalla Takarkoust
2118;"85770105";قلعة مكونة;Kalaat M'Gouna
2119;"21670923";تليليت;Talilit
2120;"71910815";ميات;Mayate
2121;"50810917";تبروشت;Tabaroucht
2122;"95810909";تارسواط;Tarsouat
2123;"53110511";المفاسيس;M'Fassis
2124;"11510505";بني فغلوم;Bni Faghloum
2125;"72110511";بيزضاض;Bizdad
2126;"10510925";تامساوت;Tamsaout
2127;"64610329";سيدي عبد الكريم;Sidi Abdelkrim
2128;"42810913";سيدي محمد لحمر;Sidi Mohamed Lahmar
2129;"22750303";كفايت;Gafait
2130;"72110337";سيدي علي الكراتي;Sidi Ali El Korati
2131;"10510923";تاغزوت;Taghzout
2132;"12270501";البحراويين;Al Bahraoyine
2133;"35310501";بني سنوس;Bni Snous
2134;"95410331";تومليلين;Toumliline
2135;"50811511";امليل;Imlil
2136;"95810311";تفراوت المولود;Tafraout El Mouloud
2137;"71910303";الدشرة;Eddachra
2138;"95410963";تيوت;Tiout
2139;"120660503";بئر كندوز;Bir Gandouz
2140;"64670709";خميس القصيبة;Khmis Ksiba
2141;"14050703";لمجاعرة;Lamjaara
2142;"35310309";أورتزاغ;Ouartzagh
2473;"10510521";ارواضي;Rouadi
2541;"22650711";أولاد بوريمة;Oulad Bourima
2542;"11510621";واد ملحة;Oued Malha
2543;"105210501";أبطيح;Abteh
2545;"11510901";أمتار;Amtar
2546;"44910501";أزغار;Azghar
2548;"61810917";سي احساين بن عبد الرحمان;Si Hsaien Ben Abderrahmane
2549;"71910733";زمران الشرقية;Zemrane Charqia
2551;"95510701";أديس;Adis
2552;"95410109";أولاد تايمة;Oulad Teima
2553;"84010311";وسلسات;Ouisselsate
2554;"71910841";أزنادة;Znada
2555;"95410707";اسايس;Assaisse
2556;"44410305";عامر;Ameur
2557;"30610307";ايت ولال;Ait Ouallal
2558;"35910502";عين قنصرة;Ain Kansra
2559;"95810907";اريغ نتاهلة;Irigh N'Tahala
2560;"15710107";واد لو;Oued Laou
2561;"35310923";سيدي امحمد بن لحسن;SIDI M'HAMED BEN LAHCEN
2562;"70410513";وزكيتة;Ouazguita
2563;"50910501";اغبالة;Aghbala
2564;"35610111";تازة;Taza
2565;"40010101";أكادير إداوتنان;Agadir Ida outanane
2566;"23810107";زايو;Zaio
2567;"24110509";إسلي;Isly
2568;"15710305";بغاغزة;Bghaghza
2569;"30610501";الدخيسة;Dkhissa
2570;"115370105";طرفاية;Tarfaya
2571;"61810101";أزمور;Azemmour
2572;"11510709";تلمبوط;Talambote
2713;"90010707";أزيار;Aziar
2714;"95410971";زاوية سيدي الطاهر;Zaouia Sidi Tahar
2715;"50811319";تدلي فطواكة;Tidili Fetouaka
2716;"83630707";آيت بن يعقوب;Ait Ben Yacoub
2717;"95410513";إميلمايس;Imilmaiss
2718;"35310915";اولاد عياد;Oulad Ayyad
2719;"32310107";فاس;Fès
2720;"50810513";ارفالة;Rfala
2721;"74270711";اولاد عامر تزمرين;Oulad Aamer Tizmarine
2722;"35610311";تيزي وسلي;Tizi Ouasli
2723;"95510101";اقا;Akka
2724;"72110519";إيدا أو كلول;Ida Ou Guelloul
