DISTANCE;DISTANCE_ROUTIERE;CODE_COMMUNE1;CODE_COMMUNE2
69;69;9906582104;99104410103
301,8;301,8;9946955066;15710111
66,55;66,55;9952858587;32310107
144,79;144,79;9923384414;45010107
102,25;102,25;53010715;45010107
222,02;222,02;84010307;92730105
44,49;44,49;91630503;92730105
462,4;462,4;90010101;45010107
810;810;9908345029;15110107
103,81;103,81;95410107;92730105
6,74;6,74;9926047685;99104410103
31;31;9908345029;9912931109
403,29;403,29;92730105;9952047672
101,12;101,12;42910511;45010107
32,87;32,87;42910705;45010107
371;371;9903006658;9900023109
252;252;9903006658;93710101
42,79;42,79;91630521;92730105
476,34;476,34;82011302;92730105
331,44;331,44;9942445064;42810101
195,28;195,28;163310317;15510101
127,89;127,89;44810705;45010107
127,9;127,9;9914763883;99104410103
167;167;9921844206;15110107
518,46;518,46;82010703;92730105
219,88;219,88;83630729;45010107
361,63;361,63;132010705;45010107
190;190;35610107;15710111
13;13;93710303;63710101
222;222;93710303;120910513
36,38;36,38;95410529;92730105
177,94;177,94;142318101;45010107
74,65;74,65;42910303;45010107
179;179;9916077323;84010107
257,36;257,36;74270101;92730105
92,8;92,8;44910505;45010107
511,06;511,06;82010113;92730105
394,84;394,84;53110109;92730105
79,9;79,9;22750303;22750135
249,51;249,51;74310109;45010107
358,64;358,64;22510311;45010107
69;69;99104410103;9906582104
301,8;301,8;15710111;9946955066
66,55;66,55;32310107;9952858587
144,79;144,79;45010107;9923384414
102,25;102,25;45010107;53010715
222,02;222,02;92730105;84010307
44,49;44,49;92730105;91630503
462,4;462,4;45010107;90010101
810;810;15110107;9908345029
103,81;103,81;92730105;95410107
6,74;6,74;99104410103;9926047685
31;31;9912931109;9908345029
403,29;403,29;9952047672;92730105
101,12;101,12;45010107;42910511
32,87;32,87;45010107;42910705
371;371;9900023109;9903006658
252;252;93710101;9903006658
42,79;42,79;92730105;91630521
476,34;476,34;92730105;82011302
331,44;331,44;42810101;9942445064
195,28;195,28;15510101;163310317
127,89;127,89;45010107;44810705
127,9;127,9;99104410103;9914763883
167;167;15110107;9921844206
518,46;518,46;92730105;82010703
219,88;219,88;45010107;83630729
361,63;361,63;45010107;132010705
190;190;15710111;35610107
13;13;63710101;93710303
222;222;120910513;93710303
36,38;36,38;92730105;95410529
177,94;177,94;45010107;142318101
74,65;74,65;45010107;42910303
179;179;84010107;9916077323
257,36;257,36;92730105;74270101
92,8;92,8;45010107;44910505
511,06;511,06;92730105;82010113
394,84;394,84;92730105;53110109
79,9;79,9;22750135;22750303
249,51;249,51;45010107;74310109
358,64;358,64;45010107;22510311
